City,PM25,NO2,PM10,AQI_PM25,AQI_NO2,AQI_PM10,AQI_MAX,datetimeUtc
dairy rosemount,5,3,7,21,3,7,21,2024-02-02T17:00:00+00:00
dairy rosemount,5,4,6,21,4,6,21,2024-02-02T18:00:00+00:00
dairy rosemount,4,3,5,17,3,5,17,2024-02-02T19:00:00+00:00
dairy rosemount,4,2,5,17,2,5,17,2024-02-02T20:00:00+00:00
dairy rosemount,4,2,5,17,2,5,17,2024-02-02T21:00:00+00:00
dairy rosemount,4,2,5,17,2,5,17,2024-02-02T22:00:00+00:00
dairy rosemount,4,1,5,17,1,5,17,2024-02-02T23:00:00+00:00
dairy rosemount,4,1,5,17,1,5,17,2024-02-03T00:00:00+00:00
dairy rosemount,4,1,5,17,1,5,17,2024-02-03T01:00:00+00:00
dairy rosemount,4,0,5,17,0,5,17,2024-02-03T02:00:00+00:00
dairy rosemount,3,0,5,13,0,5,13,2024-02-03T03:00:00+00:00
dairy rosemount,4,0,5,17,0,5,17,2024-02-03T04:00:00+00:00
dairy rosemount,4,0,6,17,0,6,17,2024-02-03T05:00:00+00:00
dairy rosemount,4,0,7,17,0,7,17,2024-02-03T06:00:00+00:00
dairy rosemount,4,0,7,17,0,7,17,2024-02-03T07:00:00+00:00
dairy rosemount,5,1,8,21,1,8,21,2024-02-03T08:00:00+00:00
dairy rosemount,5,3,8,21,3,8,21,2024-02-03T09:00:00+00:00
dairy rosemount,5,5,9,21,5,9,21,2024-02-03T10:00:00+00:00
dairy rosemount,5,3,9,21,3,9,21,2024-02-03T11:00:00+00:00
dairy rosemount,6,5,10,25,5,10,25,2024-02-03T12:00:00+00:00
dairy rosemount,6,3,10,25,3,10,25,2024-02-03T13:00:00+00:00
dairy rosemount,6,2,10,25,2,10,25,2024-02-03T14:00:00+00:00
dairy rosemount,6,2,10,25,2,10,25,2024-02-03T15:00:00+00:00
dairy rosemount,7,2,11,30,2,11,30,2024-02-03T16:00:00+00:00
dairy rosemount,7,3,11,30,3,11,30,2024-02-03T17:00:00+00:00
dairy rosemount,7,4,12,30,4,12,30,2024-02-03T18:00:00+00:00
dairy rosemount,7,5,12,30,5,12,30,2024-02-03T19:00:00+00:00
dairy rosemount,7,5,12,30,5,12,30,2024-02-03T20:00:00+00:00
dairy rosemount,8,4,13,34,4,13,34,2024-02-03T21:00:00+00:00
dairy rosemount,8,3,14,34,3,13,34,2024-02-03T22:00:00+00:00
dairy rosemount,8,2,14,34,2,13,34,2024-02-03T23:00:00+00:00
dairy rosemount,8,2,14,34,2,13,34,2024-02-04T00:00:00+00:00
dairy rosemount,8,1,15,34,1,14,34,2024-02-04T01:00:00+00:00
dairy rosemount,8,1,15,34,1,14,34,2024-02-04T02:00:00+00:00
dairy rosemount,9,0,15,38,0,14,38,2024-02-04T04:00:00+00:00
dairy rosemount,8,0,14,34,0,13,34,2024-02-04T06:00:00+00:00
dairy rosemount,8,0,14,34,0,13,34,2024-02-04T07:00:00+00:00
dairy rosemount,8,1,13,34,1,13,34,2024-02-04T08:00:00+00:00
dairy rosemount,8,2,12,34,2,12,34,2024-02-04T09:00:00+00:00
dairy rosemount,7,1,12,30,1,12,30,2024-02-04T10:00:00+00:00
dairy rosemount,7,0,11,30,0,11,30,2024-02-04T11:00:00+00:00
dairy rosemount,7,0,11,30,0,11,30,2024-02-04T12:00:00+00:00
dairy rosemount,7,1,12,30,1,12,30,2024-02-04T13:00:00+00:00
dairy rosemount,8,1,13,34,1,13,34,2024-02-04T14:00:00+00:00
dairy rosemount,8,0,14,34,0,13,34,2024-02-04T15:00:00+00:00
dairy rosemount,9,1,15,38,1,14,38,2024-02-04T16:00:00+00:00
dairy rosemount,9,0,16,38,0,15,38,2024-02-04T17:00:00+00:00
dairy rosemount,10,1,18,42,1,17,42,2024-02-04T18:00:00+00:00
dairy rosemount,11,1,18,46,1,17,46,2024-02-04T19:00:00+00:00
dairy rosemount,11,1,19,46,1,18,46,2024-02-04T20:00:00+00:00
dairy rosemount,11,1,19,46,1,18,46,2024-02-04T21:00:00+00:00
dairy rosemount,11,0,20,46,0,19,46,2024-02-04T22:00:00+00:00
dairy rosemount,11,0,20,46,0,19,46,2024-02-04T23:00:00+00:00
dairy rosemount,12,0,21,50,0,20,50,2024-02-05T00:00:00+00:00
dairy rosemount,12,0,21,50,0,20,50,2024-02-05T01:00:00+00:00
dairy rosemount,13,0,22,54,0,21,54,2024-02-05T02:00:00+00:00
dairy rosemount,13,0,22,54,0,21,54,2024-02-05T03:00:00+00:00
dairy rosemount,13,0,22,54,0,21,54,2024-02-05T04:00:00+00:00
dairy rosemount,13,0,22,54,0,21,54,2024-02-05T05:00:00+00:00
dairy rosemount,13,0,22,54,0,21,54,2024-02-05T06:00:00+00:00
dairy rosemount,14,0,23,56,0,22,56,2024-02-05T07:00:00+00:00
dairy rosemount,14,1,23,56,1,22,56,2024-02-05T08:00:00+00:00
dairy rosemount,14,3,24,56,3,23,56,2024-02-05T09:00:00+00:00
dairy rosemount,14,2,24,56,2,23,56,2024-02-05T10:00:00+00:00
dairy rosemount,14,2,24,56,2,23,56,2024-02-05T11:00:00+00:00
dairy rosemount,14,2,24,56,2,23,56,2024-02-05T12:00:00+00:00
dairy rosemount,14,2,23,56,2,22,56,2024-02-05T13:00:00+00:00
dairy rosemount,13,2,22,54,2,21,54,2024-02-05T14:00:00+00:00
dairy rosemount,13,2,20,54,2,19,54,2024-02-05T15:00:00+00:00
dairy rosemount,12,3,19,50,3,18,50,2024-02-05T16:00:00+00:00
dairy rosemount,11,3,17,46,3,16,46,2024-02-05T17:00:00+00:00
dairy rosemount,11,4,16,46,4,15,46,2024-02-05T18:00:00+00:00
dairy rosemount,10,3,15,42,3,14,42,2024-02-05T19:00:00+00:00
dairy rosemount,10,3,14,42,3,13,42,2024-02-05T20:00:00+00:00
dairy rosemount,9,2,13,38,2,13,38,2024-02-05T21:00:00+00:00
dairy rosemount,9,2,12,38,2,12,38,2024-02-05T22:00:00+00:00
dairy rosemount,8,1,12,34,1,12,34,2024-02-05T23:00:00+00:00
dairy rosemount,8,0,11,34,0,11,34,2024-02-06T00:00:00+00:00
dairy rosemount,7,0,10,30,0,10,30,2024-02-06T01:00:00+00:00
dairy rosemount,6,0,9,25,0,9,25,2024-02-06T02:00:00+00:00
dairy rosemount,6,0,9,25,0,9,25,2024-02-06T03:00:00+00:00
dairy rosemount,6,0,8,25,0,8,25,2024-02-06T04:00:00+00:00
dairy rosemount,6,0,8,25,0,8,25,2024-02-06T05:00:00+00:00
dairy rosemount,5,0,8,21,0,8,21,2024-02-06T06:00:00+00:00
dairy rosemount,5,1,7,21,1,7,21,2024-02-06T07:00:00+00:00
dairy rosemount,5,2,8,21,2,8,21,2024-02-06T08:00:00+00:00
dairy rosemount,5,9,8,21,9,8,21,2024-02-06T09:00:00+00:00
dairy rosemount,5,12,8,21,12,8,21,2024-02-06T10:00:00+00:00
dairy rosemount,5,10,8,21,10,8,21,2024-02-06T11:00:00+00:00
dairy rosemount,5,4,9,21,4,9,21,2024-02-06T12:00:00+00:00
dairy rosemount,5,2,9,21,2,9,21,2024-02-06T13:00:00+00:00
dairy rosemount,5,3,10,21,3,10,21,2024-02-06T14:00:00+00:00
dairy rosemount,5,4,11,21,4,11,21,2024-02-06T15:00:00+00:00
dairy rosemount,5,5,12,21,5,12,21,2024-02-06T16:00:00+00:00
dairy rosemount,6,10,13,25,10,13,25,2024-02-06T17:00:00+00:00
dairy rosemount,7,26,14,30,25,13,30,2024-02-06T18:00:00+00:00
dairy rosemount,8,38,15,34,36,14,36,2024-02-06T19:00:00+00:00
dairy rosemount,10,49,17,42,47,16,47,2024-02-06T20:00:00+00:00
dairy rosemount,11,44,19,46,42,18,46,2024-02-06T21:00:00+00:00
dairy rosemount,12,45,21,50,43,20,50,2024-02-06T22:00:00+00:00
dairy rosemount,13,37,22,54,35,21,54,2024-02-06T23:00:00+00:00
dairy rosemount,14,14,23,56,14,22,56,2024-02-07T00:00:00+00:00
dairy rosemount,15,15,24,58,15,23,58,2024-02-07T01:00:00+00:00
dairy rosemount,16,13,25,60,13,24,60,2024-02-07T02:00:00+00:00
dairy rosemount,16,6,25,60,6,24,60,2024-02-07T03:00:00+00:00
dairy rosemount,17,5,26,62,5,25,62,2024-02-07T04:00:00+00:00
dairy rosemount,17,5,26,62,5,25,62,2024-02-07T05:00:00+00:00
