City,PM25,NO2,PM10,AQI_PM25,AQI_NO2,AQI_PM10,AQI_MAX,datetimeUtc
Nairobi,11,-0.11723625,24,46,1,23,46,2024-02-04T08:00:00+00:00
Nairobi,9.4,-0.0248625,17,40,1,16,40,2024-02-04T09:00:00+00:00
Nairobi,8.5,-0.019125,15,36,1,14,36,2024-02-04T10:00:00+00:00
Nairobi,6.1,-0.01377,7.9,26,1,8,26,2024-02-04T11:00:00+00:00
Nairobi,5.6,-0.0149175,6.1,24,1,6,24,2024-02-04T12:00:00+00:00
Nairobi,5.8,-0.01855125,6.8,25,1,7,25,2024-02-04T13:00:00+00:00
Nairobi,5,-0.02295,4.1,21,1,4,21,2024-02-04T14:00:00+00:00
Nairobi,29,-0.00765,44,88,1,41,88,2024-02-04T15:00:00+00:00
Nairobi,7.6,0.00592875,13,32,1,13,32,2024-02-04T16:00:00+00:00
Nairobi,8,0.01224,15,34,1,14,34,2024-02-04T17:00:00+00:00
Nairobi,8.3,0.0149175,16,35,1,15,35,2024-02-04T18:00:00+00:00
Nairobi,11,0.01778625,24,46,1,23,46,2024-02-04T19:00:00+00:00
Nairobi,12,0.019125,30,50,1,28,50,2024-02-04T20:00:00+00:00
Nairobi,13,0.0248625,31,54,1,29,54,2024-02-04T21:00:00+00:00
Nairobi,13,0.0248625,33,54,1,31,54,2024-02-04T22:00:00+00:00
Nairobi,11,0.02295,27,46,1,25,46,2024-02-04T23:00:00+00:00
Nairobi,9.6,0.02295,24,40,1,23,40,2024-02-05T00:00:00+00:00
Nairobi,8.9,0.0210375,22,38,1,21,38,2024-02-05T01:00:00+00:00
Nairobi,7.9,0.0210375,18,33,1,17,33,2024-02-05T02:00:00+00:00
Nairobi,7.4,0.02295,18,31,1,17,31,2024-02-05T03:00:00+00:00
Nairobi,9.6,0.0286875,25,40,1,24,40,2024-02-05T04:00:00+00:00
Nairobi,11,0.0286875,32,46,1,30,46,2024-02-05T05:00:00+00:00
Nairobi,12,0.016065,30,50,1,28,50,2024-02-05T06:00:00+00:00
Nairobi,11,-0.02295,23,46,1,22,46,2024-02-05T07:00:00+00:00
Nairobi,10,-0.0286875,20,42,1,19,42,2024-02-05T08:00:00+00:00
Nairobi,9.9,-0.034425,19,42,1,18,42,2024-02-05T09:00:00+00:00
Nairobi,8,-0.0306,13,34,1,13,34,2024-02-05T10:00:00+00:00
Nairobi,7.7,-0.02295,12,33,1,12,33,2024-02-05T11:00:00+00:00
Nairobi,6.7,-0.0210375,9,28,1,9,28,2024-02-05T12:00:00+00:00
Nairobi,6.7,-0.01836,9.7,28,1,9,28,2024-02-05T13:00:00+00:00
Nairobi,7.2,-0.02295,10,30,1,10,30,2024-02-05T14:00:00+00:00
Nairobi,6.6,-0.0210375,7.9,28,1,8,28,2024-02-05T15:00:00+00:00
Nairobi,7.6,-0.0133875,12,32,1,12,32,2024-02-05T16:00:00+00:00
Nairobi,11,0.0095625,22,46,1,21,46,2024-02-05T17:00:00+00:00
Nairobi,11,0.01549125,26,46,1,25,46,2024-02-05T18:00:00+00:00
Nairobi,15,0.0210375,36,58,1,34,58,2024-02-05T19:00:00+00:00
Nairobi,18,0.026775,45,64,1,42,64,2024-02-05T20:00:00+00:00
Nairobi,14,0.0306,36,56,1,34,56,2024-02-05T21:00:00+00:00
Nairobi,9.2,0.0306,24,39,1,23,39,2024-02-05T22:00:00+00:00
Nairobi,8.2,0.026775,21,35,1,20,35,2024-02-05T23:00:00+00:00
Nairobi,7.9,0.0306,20,33,1,19,33,2024-02-06T00:00:00+00:00
Nairobi,8.4,0.0210375,22,35,1,21,35,2024-02-06T01:00:00+00:00
Nairobi,9.4,0.02295,25,40,1,24,40,2024-02-06T02:00:00+00:00
Nairobi,9.2,0.0286875,25,39,1,24,39,2024-02-06T03:00:00+00:00
Nairobi,13,0.0325125,36,54,1,34,54,2024-02-06T04:00:00+00:00
Nairobi,14,0.0306,39,56,1,37,56,2024-02-06T05:00:00+00:00
Nairobi,19,0.02295,48,66,1,45,66,2024-02-06T06:00:00+00:00
Nairobi,15,-0.00707625,37,58,1,35,58,2024-02-06T07:00:00+00:00
Nairobi,12,-0.0459,26,50,1,25,50,2024-02-06T08:00:00+00:00
Nairobi,11,-0.049725,22,46,1,21,46,2024-02-06T09:00:00+00:00
Nairobi,11,-0.0363375,22,46,1,21,46,2024-02-06T10:00:00+00:00
Nairobi,8.8,-0.0306,15,37,1,14,37,2024-02-06T11:00:00+00:00
Nairobi,8.1,-0.0306,13,34,1,13,34,2024-02-06T12:00:00+00:00
Nairobi,7.7,-0.0286875,11,33,1,11,33,2024-02-06T13:00:00+00:00
Nairobi,7.4,-0.01816875,11,31,1,11,31,2024-02-06T14:00:00+00:00
