City,PM25,NO2,PM10,AQI_PM25,AQI_NO2,AQI_PM10,AQI_MAX,datetimeUtc
Cyprus,8.3,19,17,35,18,16,35,2024-02-02T18:00:00+00:00
Cyprus,11,16,18,46,16,17,46,2024-02-02T19:00:00+00:00
Cyprus,15,7.7,20,58,8,19,58,2024-02-02T20:00:00+00:00
Cyprus,7.9,11,11,33,11,11,33,2024-02-02T21:00:00+00:00
Cyprus,13,8.1,16,54,8,15,54,2024-02-02T22:00:00+00:00
Cyprus,8.3,6.6,12,35,7,12,35,2024-02-02T23:00:00+00:00
Cyprus,19,6.4,23,66,7,22,66,2024-02-03T00:00:00+00:00
Cyprus,23,4,27,75,4,25,75,2024-02-03T01:00:00+00:00
Cyprus,19,5,23,66,5,22,66,2024-02-03T02:00:00+00:00
Cyprus,21,5.4,23,71,6,22,71,2024-02-03T03:00:00+00:00
Cyprus,3.5,6.1,5.8,15,6,6,15,2024-02-03T04:00:00+00:00
Cyprus,7.4,13,11,31,13,11,31,2024-02-03T05:00:00+00:00
Cyprus,33,22,40,96,21,38,96,2024-02-03T06:00:00+00:00
Cyprus,28,10,38,86,10,36,86,2024-02-03T07:00:00+00:00
Cyprus,16,14,24,60,14,23,60,2024-02-03T08:00:00+00:00
Cyprus,8.3,9.1,23,35,9,22,35,2024-02-03T09:00:00+00:00
Cyprus,4,7.9,11,17,8,11,17,2024-02-03T11:00:00+00:00
Cyprus,2.7,9,10,12,9,10,12,2024-02-03T12:00:00+00:00
Cyprus,2.5,5.8,5.7,11,6,6,11,2024-02-03T14:00:00+00:00
Cyprus,0.28,6.7,3.2,2,7,3,7,2024-02-03T15:00:00+00:00
Cyprus,3.5,6.1,13,15,6,13,15,2024-02-03T16:00:00+00:00
Cyprus,2.6,25,17,11,24,16,24,2024-02-03T17:00:00+00:00
Cyprus,13,28,25,54,27,24,54,2024-02-03T18:00:00+00:00
Cyprus,16,14,23,60,14,22,60,2024-02-03T19:00:00+00:00
Cyprus,6.2,7.8,14,26,8,13,26,2024-02-03T20:00:00+00:00
Cyprus,5.9,7.3,11,25,7,11,25,2024-02-03T21:00:00+00:00
Cyprus,11,10,17,46,10,16,46,2024-02-03T22:00:00+00:00
Cyprus,17,7.5,23,62,8,22,62,2024-02-03T23:00:00+00:00
Cyprus,14,6.4,21,56,7,20,56,2024-02-04T00:00:00+00:00
Cyprus,13,4.9,17,54,5,16,54,2024-02-04T01:00:00+00:00
Cyprus,8.1,5,11,34,5,11,34,2024-02-04T02:00:00+00:00
Cyprus,12,5,15,50,5,14,50,2024-02-04T03:00:00+00:00
Cyprus,14,8.8,20,56,9,19,56,2024-02-04T05:00:00+00:00
Cyprus,12,8.1,20,50,8,19,50,2024-02-04T07:00:00+00:00
Cyprus,11,12,19,46,12,18,46,2024-02-04T08:00:00+00:00
Cyprus,10,12,21,42,12,20,42,2024-02-04T09:00:00+00:00
Cyprus,6,18,28,25,17,26,26,2024-02-04T11:00:00+00:00
Cyprus,7.3,19,30,31,18,28,31,2024-02-04T12:00:00+00:00
Cyprus,6.8,8.5,24,29,9,23,29,2024-02-04T13:00:00+00:00
Cyprus,4.3,16,22,18,16,21,21,2024-02-04T14:00:00+00:00
Cyprus,5.8,12,26,25,12,25,25,2024-02-04T15:00:00+00:00
Cyprus,6.1,9.3,18,26,9,17,26,2024-02-04T16:00:00+00:00
Cyprus,3.2,16,9.5,14,16,9,16,2024-02-04T17:00:00+00:00
Cyprus,9.7,30,18,41,29,17,41,2024-02-04T18:00:00+00:00
Cyprus,13,12,20,54,12,19,54,2024-02-04T19:00:00+00:00
Cyprus,13,10,20,54,10,19,54,2024-02-04T20:00:00+00:00
Cyprus,22,11,30,73,11,28,73,2024-02-04T21:00:00+00:00
Cyprus,25,8.3,31,79,8,29,79,2024-02-04T22:00:00+00:00
Cyprus,15,5.7,20,58,6,19,58,2024-02-04T23:00:00+00:00
Cyprus,0.24,5.9,5,1,6,5,6,2024-02-05T00:00:00+00:00
Cyprus,4.2,7.6,5.9,18,8,6,18,2024-02-05T01:00:00+00:00
Cyprus,12,6.2,16,50,6,15,50,2024-02-05T02:00:00+00:00
Cyprus,26,8.9,31,81,9,29,81,2024-02-05T03:00:00+00:00
Cyprus,26,13,34,81,13,32,81,2024-02-05T04:00:00+00:00
Cyprus,14,23,19,56,22,18,56,2024-02-05T05:00:00+00:00
Cyprus,10,26,15,42,25,14,42,2024-02-05T06:00:00+00:00
