City,PM25,NO2,PM10,AQI_PM25,AQI_NO2,AQI_PM10,AQI_MAX,datetimeUtc
Gera Friedericistr.,6.3,6.9,11,27,7,11,27,2024-02-01T19:00:00+00:00
Gera Friedericistr.,6.4,9.3,11,27,9,11,27,2024-02-01T20:00:00+00:00
Gera Friedericistr.,6.5,15,11,28,15,11,28,2024-02-01T21:00:00+00:00
Gera Friedericistr.,6.8,15,12,29,15,12,29,2024-02-01T22:00:00+00:00
Gera Friedericistr.,6.7,8.8,12,28,9,12,28,2024-02-01T23:00:00+00:00
Gera Friedericistr.,6.7,5.8,11,28,6,11,28,2024-02-02T00:00:00+00:00
Gera Friedericistr.,6.9,5,11,29,5,11,29,2024-02-02T01:00:00+00:00
Gera Friedericistr.,7.1,4.7,11,30,5,11,30,2024-02-02T02:00:00+00:00
Gera Friedericistr.,8.4,6.7,13,35,7,13,35,2024-02-02T03:00:00+00:00
Gera Friedericistr.,9.7,6,14,41,6,13,41,2024-02-02T04:00:00+00:00
Gera Friedericistr.,10,10,15,42,10,14,42,2024-02-02T05:00:00+00:00
Gera Friedericistr.,11,17,16,46,17,15,46,2024-02-02T06:00:00+00:00
Gera Friedericistr.,11,20,16,46,19,15,46,2024-02-02T07:00:00+00:00
Gera Friedericistr.,11,21,17,46,20,16,46,2024-02-02T08:00:00+00:00
Gera Friedericistr.,9.2,12,14,39,12,13,39,2024-02-02T09:00:00+00:00
Gera Friedericistr.,6.8,12,9.5,29,12,9,29,2024-02-02T10:00:00+00:00
Gera Friedericistr.,7.5,12,10,32,12,10,32,2024-02-02T11:00:00+00:00
Gera Friedericistr.,5.5,11,8.4,23,11,8,23,2024-02-02T12:00:00+00:00
Gera Friedericistr.,6,11,9.3,25,11,9,25,2024-02-02T13:00:00+00:00
Gera Friedericistr.,6.5,12,9.7,28,12,9,28,2024-02-02T14:00:00+00:00
Gera Friedericistr.,6.1,12,9.1,26,12,9,26,2024-02-02T15:00:00+00:00
Gera Friedericistr.,6,14,9.3,25,14,9,25,2024-02-02T16:00:00+00:00
Gera Friedericistr.,6.9,17,11,29,17,11,29,2024-02-02T17:00:00+00:00
Gera Friedericistr.,6.7,13,9.3,28,13,9,28,2024-02-02T18:00:00+00:00
Gera Friedericistr.,5.9,11,8.4,25,11,8,25,2024-02-02T19:00:00+00:00
Gera Friedericistr.,6.2,14,8.6,26,14,8,26,2024-02-02T20:00:00+00:00
Gera Friedericistr.,6.2,11,9,26,11,9,26,2024-02-02T21:00:00+00:00
Gera Friedericistr.,6.3,9.6,8.7,27,10,9,27,2024-02-02T22:00:00+00:00
Gera Friedericistr.,6.9,5.8,9.2,29,6,9,29,2024-02-02T23:00:00+00:00
Gera Friedericistr.,7.2,4.8,9.3,30,5,9,30,2024-02-03T00:00:00+00:00
Gera Friedericistr.,6.1,4.4,7.7,26,5,8,26,2024-02-03T01:00:00+00:00
Gera Friedericistr.,5,4,6.2,21,4,6,21,2024-02-03T02:00:00+00:00
Gera Friedericistr.,4.6,1.9,5.6,20,2,6,20,2024-02-03T03:00:00+00:00
Gera Friedericistr.,4.4,4.3,5.7,19,5,6,19,2024-02-03T04:00:00+00:00
Gera Friedericistr.,3.5,5.2,4.5,15,5,5,15,2024-02-03T05:00:00+00:00
Gera Friedericistr.,2.6,5.1,3.4,11,5,4,11,2024-02-03T06:00:00+00:00
Gera Friedericistr.,2,4.5,2.8,9,5,3,9,2024-02-03T07:00:00+00:00
Gera Friedericistr.,1.8,5.5,2.8,8,6,3,8,2024-02-03T08:00:00+00:00
Gera Friedericistr.,1.7,4.8,2.4,8,5,3,8,2024-02-03T09:00:00+00:00
Gera Friedericistr.,1.8,5.8,2.5,8,6,3,8,2024-02-03T10:00:00+00:00
Gera Friedericistr.,1.9,7.5,3,8,8,3,8,2024-02-03T11:00:00+00:00
Gera Friedericistr.,1.8,8.2,2.9,8,8,3,8,2024-02-03T12:00:00+00:00
Gera Friedericistr.,1.8,6.8,2.5,8,7,3,8,2024-02-03T13:00:00+00:00
