City,PM25,NO2,PM10,AQI_PM25,AQI_NO2,AQI_PM10,AQI_MAX,datetimeUtc
Vangsvegen-Disen,33,84,34,96,84,32,96,2024-02-02T18:00:00+00:00
Vangsvegen-Disen,30,79,30,90,79,28,90,2024-02-02T19:00:00+00:00
Vangsvegen-Disen,26,59,25,81,57,24,81,2024-02-02T20:00:00+00:00
Vangsvegen-Disen,28,72,28,86,71,26,86,2024-02-02T21:00:00+00:00
Vangsvegen-Disen,30,56,29,90,54,27,90,2024-02-02T22:00:00+00:00
Vangsvegen-Disen,25,52,25,79,50,24,79,2024-02-02T23:00:00+00:00
Vangsvegen-Disen,22,48,21,73,46,20,73,2024-02-03T00:00:00+00:00
Vangsvegen-Disen,19,45,18,66,43,17,66,2024-02-03T01:00:00+00:00
Vangsvegen-Disen,22,33,21,73,32,20,73,2024-02-03T02:00:00+00:00
Vangsvegen-Disen,9.9,18,10,42,17,10,42,2024-02-03T03:00:00+00:00
Vangsvegen-Disen,16,12,14,60,12,13,60,2024-02-03T04:00:00+00:00
Vangsvegen-Disen,7.4,7.2,7.2,31,7,7,31,2024-02-03T05:00:00+00:00
Vangsvegen-Disen,11,11,10,46,11,10,46,2024-02-03T06:00:00+00:00
Vangsvegen-Disen,-0.16,3.8,0.45,-1,4,1,4,2024-02-03T07:00:00+00:00
Vangsvegen-Disen,11,1.7,11,46,2,11,46,2024-02-03T08:00:00+00:00
Vangsvegen-Disen,8.9,5.3,8.8,38,5,9,38,2024-02-03T09:00:00+00:00
Vangsvegen-Disen,11,8,11,46,8,11,46,2024-02-03T10:00:00+00:00
Vangsvegen-Disen,9,18,9.4,38,17,9,38,2024-02-03T11:00:00+00:00
Vangsvegen-Disen,8.6,18,10,36,17,10,36,2024-02-03T12:00:00+00:00
Vangsvegen-Disen,9.3,12,9.7,39,12,9,39,2024-02-03T13:00:00+00:00
Vangsvegen-Disen,8.4,13,10,35,13,10,35,2024-02-03T14:00:00+00:00
Vangsvegen-Disen,7.2,19,8.8,30,18,9,30,2024-02-03T15:00:00+00:00
Vangsvegen-Disen,1.3,5.9,2.3,6,6,3,6,2024-02-03T16:00:00+00:00
Vangsvegen-Disen,9.1,6,9.4,38,6,9,38,2024-02-03T17:00:00+00:00
Vangsvegen-Disen,6,9.1,6,25,9,6,25,2024-02-03T18:00:00+00:00
Vangsvegen-Disen,13,8.9,14,54,9,13,54,2024-02-03T19:00:00+00:00
Vangsvegen-Disen,16,4.5,17,60,5,16,60,2024-02-03T20:00:00+00:00
Vangsvegen-Disen,12,2.5,11,50,3,11,50,2024-02-03T21:00:00+00:00
